variant_brand,canonical_brand,pattern,variant_count,canonical_count,confidence,action,notes
gourmet international,gourmet,geo_suffix,2,46,high,,suffix removed: 'international'
great british tea company,great british tea,geo_suffix,2,3,high,,suffix removed: 'company'
hall brands llc,hall brands,geo_suffix,2,2,high,,suffix removed: 'llc'
hamdan co,hamdan,geo_suffix,2,4,high,,suffix removed: 'co'
harmons inc,harmons,geo_suffix,2,17,high,,suffix removed: 'inc'
hodgson mill inc,hodgson mill,geo_suffix,2,47,high,,suffix removed: 'inc'
jade monk llc,jade monk,geo_suffix,2,8,high,,suffix removed: 'llc'
kelsen group,kelsen,geo_suffix,2,2,high,,suffix removed: 'group'
lightbody europe,lightbody,geo_suffix,2,29,high,,suffix removed: 'europe'
made in nature llc,made in nature,geo_suffix,2,47,high,,suffix removed: 'llc'
maestro italia,maestro,geo_suffix,2,11,high,,suffix removed: 'italia'
mestemacher gmbh,mestemacher,geo_suffix,2,26,high,,suffix removed: 'gmbh'
middle east bakery inc,middle east bakery,geo_suffix,2,6,high,,suffix removed: 'inc'
new century snacks llc,new century snacks,geo_suffix,2,17,high,,suffix removed: 'llc'
perfect pasta inc,perfect pasta,geo_suffix,2,3,high,,suffix removed: 'inc'
refresco france,refresco,geo_suffix,2,12,high,,suffix removed: 'france'
runa llc,runa,geo_suffix,2,11,high,,suffix removed: 'llc'
seapoint farms llc,seapoint farms,geo_suffix,2,14,high,,suffix removed: 'llc'
seitz gmbh,seitz,geo_suffix,2,2,high,,suffix removed: 'gmbh'
snikiddy llc,snikiddy,geo_suffix,2,6,high,,suffix removed: 'llc'
snowdonia cheese co,snowdonia cheese,geo_suffix,2,2,high,,suffix removed: 'co'
sonoma creamery llc,sonoma creamery,geo_suffix,2,5,high,,suffix removed: 'llc'
tay's gourmet llc,tay's gourmet,geo_suffix,2,3,high,,suffix removed: 'llc'
torie & howard llc,torie & howard,geo_suffix,2,5,high,,suffix removed: 'llc'
umpqua oats inc,umpqua oats,geo_suffix,2,3,high,,suffix removed: 'inc'
uncle ray's llc,uncle ray's,geo_suffix,2,31,high,,suffix removed: 'llc'
unique pretzel bakery inc,unique pretzel bakery,geo_suffix,2,3,high,,suffix removed: 'inc'
vintage italia,vintage,geo_suffix,2,39,high,,suffix removed: 'italia'
wander ag,wander,geo_suffix,2,7,high,,suffix removed: 'ag'
zeta espacial s.a.,zeta espacial,geo_suffix,2,2,high,,suffix removed: 's.a.'
hy vee,hy-vee,punctuation,1,552,high,confirm,Non-executable guardrail; exact reviewed evidence required.
st-michel,st michel,punctuation,1,534,high,confirm,Non-executable guardrail; exact reviewed evidence required.
h e b,h-e-b,punctuation,1,482,high,confirm,Non-executable guardrail; exact reviewed evidence required.
general-mills,general mills,punctuation,1,407,high,confirm,Non-executable guardrail; exact reviewed evidence required.
oreo,oreo,punctuation,1,319,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kusmi-tea,kusmi tea,punctuation,1,272,high,confirm,Non-executable guardrail; exact reviewed evidence required.
les-3-meuniers,les 3 meuniers,punctuation,1,143,high,confirm,Non-executable guardrail; exact reviewed evidence required.
snickers,snickers,punctuation,1,142,high,confirm,Non-executable guardrail; exact reviewed evidence required.
trader-joes,trader joes,punctuation,1,123,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio-soleil,bio soleil,punctuation,1,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lucien-georgelin,lucien georgelin,punctuation,1,91,high,confirm,Non-executable guardrail; exact reviewed evidence required.
harris teeter inc.,harris-teeter inc.,punctuation,1,87,high,confirm,Non-executable guardrail; exact reviewed evidence required.
saint eloi,Saint Eloi,reviewed_intermarche_private_label,12,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
royal family -,royal family,punctuation,1,85,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sara-lee,sara lee,punctuation,1,83,high,confirm,Non-executable guardrail; exact reviewed evidence required.
galaxy,galaxy,punctuation,1,82,high,confirm,Non-executable guardrail; exact reviewed evidence required.
valu-time,valu time,punctuation,1,78,high,confirm,Non-executable guardrail; exact reviewed evidence required.
saint-agur,saint agur,punctuation,1,73,high,confirm,Non-executable guardrail; exact reviewed evidence required.
migros-bio,migros bio,punctuation,1,72,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nous anti gaspi,nous anti-gaspi,punctuation,1,59,high,confirm,Non-executable guardrail; exact reviewed evidence required.
savoie-yaourt,savoie yaourt,punctuation,1,55,high,confirm,Non-executable guardrail; exact reviewed evidence required.
malt-o meal,malt o meal,punctuation,1,54,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ty-delice,ty delice,punctuation,1,47,high,confirm,Non-executable guardrail; exact reviewed evidence required.
la ferme saint-ulrich,la ferme saint ulrich,punctuation,1,46,high,confirm,Non-executable guardrail; exact reviewed evidence required.
the-bridge,the bridge,punctuation,1,41,high,confirm,Non-executable guardrail; exact reviewed evidence required.
maitre-prunille,maitre prunille,punctuation,1,39,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bernard-gaborit,bernard gaborit,punctuation,1,37,high,confirm,Non-executable guardrail; exact reviewed evidence required.
le-prix-gagnant,le prix gagnant,punctuation,1,33,high,confirm,Non-executable guardrail; exact reviewed evidence required.
the juice company,the juice company,punctuation,1,30,high,confirm,Non-executable guardrail; exact reviewed evidence required.
arnaud-soubeyran,arnaud soubeyran,punctuation,1,25,high,confirm,Non-executable guardrail; exact reviewed evidence required.
saint-albray,saint albray,punctuation,1,25,high,confirm,Non-executable guardrail; exact reviewed evidence required.
cracker barrel,cracker barrel,punctuation,1,23,high,confirm,Non-executable guardrail; exact reviewed evidence required.
taste-the-difference,taste the difference,punctuation,1,23,high,confirm,Non-executable guardrail; exact reviewed evidence required.
7-up,7 up,punctuation,1,20,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle coffee-mate,nestle coffee mate,punctuation,1,19,high,confirm,Non-executable guardrail; exact reviewed evidence required.
que pasa,que pasa,punctuation,1,19,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bon ri,Bon-Ri,reviewed_aldi_private_label,1,,high,confirm,reviewed Aldi France decision; company_decision=Aldi; source=aldi_private_label_review_20260831
chin-chin,chin chin,punctuation,1,16,high,confirm,Non-executable guardrail; exact reviewed evidence required.
cotes-du-rhone,cotes du rhone,punctuation,1,16,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ice-tea,ice tea,punctuation,1,16,high,confirm,Non-executable guardrail; exact reviewed evidence required.
yum-yum,yum yum,punctuation,1,16,high,confirm,Non-executable guardrail; exact reviewed evidence required.
taste of nature,taste of nature,punctuation,1,14,high,confirm,Non-executable guardrail; exact reviewed evidence required.
chameleon cold brew,chameleon cold-brew,punctuation,1,13,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio-today,bio today,punctuation,1,12,high,confirm,Non-executable guardrail; exact reviewed evidence required.
les craquelins de saint-malo,les craquelins de saint malo,punctuation,1,12,high,confirm,Non-executable guardrail; exact reviewed evidence required.
the-coconut-collab,the coconut collab,punctuation,1,12,high,confirm,Non-executable guardrail; exact reviewed evidence required.
haagen dazs,haagen-dazs,punctuation,1,11,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sans-detour,sans detour,punctuation,1,11,high,confirm,Non-executable guardrail; exact reviewed evidence required.
southern-recipe,southern recipe,punctuation,1,11,high,confirm,Non-executable guardrail; exact reviewed evidence required.
topo-chico,topo chico,punctuation,1,11,high,confirm,Non-executable guardrail; exact reviewed evidence required.
coca-cola zero,coca cola zero,punctuation,1,10,high,confirm,Non-executable guardrail; exact reviewed evidence required.
perrault-dabot,perrault dabot,punctuation,1,10,high,confirm,Non-executable guardrail; exact reviewed evidence required.
snack-a-jacks,snack a jacks,punctuation,1,10,high,confirm,Non-executable guardrail; exact reviewed evidence required.
st-georges,st georges,punctuation,1,10,high,confirm,Non-executable guardrail; exact reviewed evidence required.
true-fruits,true fruits,punctuation,1,10,high,confirm,Non-executable guardrail; exact reviewed evidence required.
saint loup,saint-loup,punctuation,1,9,high,confirm,Non-executable guardrail; exact reviewed evidence required.
beech nut,beech-nut,punctuation,1,8,high,confirm,Non-executable guardrail; exact reviewed evidence required.
co op irresistible,co-op irresistible,punctuation,1,8,high,confirm,Non-executable guardrail; exact reviewed evidence required.
coca-cola light,coca-cola-light,punctuation,1,8,high,confirm,Non-executable guardrail; exact reviewed evidence required.
delices des 7 vallees -,delices des 7 vallees,punctuation,1,8,high,confirm,Non-executable guardrail; exact reviewed evidence required.
di-bari,di bari,punctuation,1,8,high,confirm,Non-executable guardrail; exact reviewed evidence required.
fuel-10k,fuel 10k,punctuation,1,8,high,confirm,Non-executable guardrail; exact reviewed evidence required.
saint-michel,saint michel,punctuation,1,8,high,confirm,Non-executable guardrail; exact reviewed evidence required.
san-fabio,san fabio,punctuation,1,8,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ab-inbev,ab inbev,punctuation,1,7,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bell view,bell-view,punctuation,1,7,high,confirm,Non-executable guardrail; exact reviewed evidence required.
hoa-nam,hoa nam,punctuation,1,7,high,confirm,Non-executable guardrail; exact reviewed evidence required.
marin-coathalem,marin coathalem,punctuation,1,7,high,confirm,Non-executable guardrail; exact reviewed evidence required.
pessac-leognan,pessac leognan,punctuation,1,7,high,confirm,Non-executable guardrail; exact reviewed evidence required.
biscuiterie sainte anne,biscuiterie sainte-anne,punctuation,1,6,high,confirm,Non-executable guardrail; exact reviewed evidence required.
brothers all natural,brothers-all-natural,punctuation,1,6,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tomm-pousse,tomm pousse,punctuation,1,6,high,confirm,Non-executable guardrail; exact reviewed evidence required.
traou mad de pont aven,traou mad de pont-aven,punctuation,1,6,high,confirm,Non-executable guardrail; exact reviewed evidence required.
traou-mad de pont-aven,traou mad de pont-aven,punctuation,1,6,high,confirm,Non-executable guardrail; exact reviewed evidence required.
brasserie-de-gayant,brasserie de gayant,punctuation,1,5,high,confirm,Non-executable guardrail; exact reviewed evidence required.
cream o land,cream-o-land,punctuation,1,5,high,confirm,Non-executable guardrail; exact reviewed evidence required.
jean louis,jean-louis,punctuation,1,5,high,confirm,Non-executable guardrail; exact reviewed evidence required.
laurent-perrier,laurent perrier,punctuation,1,5,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mont dore,mont-dore,punctuation,1,5,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nutri-grain,nutri grain,punctuation,1,5,high,confirm,Non-executable guardrail; exact reviewed evidence required.
veggie go's,veggie-go's,punctuation,1,5,high,confirm,Non-executable guardrail; exact reviewed evidence required.
alb-natur,alb natur,punctuation,1,4,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bake-at-home,bake at home,punctuation,1,4,high,confirm,Non-executable guardrail; exact reviewed evidence required.
cass clay,cass-clay,punctuation,1,4,high,confirm,Non-executable guardrail; exact reviewed evidence required.
emergen c,emergen-c,punctuation,1,4,high,confirm,Non-executable guardrail; exact reviewed evidence required.
k menu,k-menu,punctuation,1,4,high,confirm,Non-executable guardrail; exact reviewed evidence required.
k-take-it-veggie,k-take it veggie,punctuation,1,4,high,confirm,Non-executable guardrail; exact reviewed evidence required.
marie amelie,marie-amelie,punctuation,1,4,high,confirm,Non-executable guardrail; exact reviewed evidence required.
overstim-s,overstim s,punctuation,1,4,high,confirm,Non-executable guardrail; exact reviewed evidence required.
perrier jouet,perrier-jouet,punctuation,1,4,high,confirm,Non-executable guardrail; exact reviewed evidence required.
